Filename,Pin,Direction,Max rise time,Max fall time,Worst Transition,Limit,Slack
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_20/A,in,2.776835,2.779339,2.779339,0.200000,2.5793389999999996
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,esi_dft_occ_wrap_SERDES_scan_clk_ln1_rxdiv_i/pll_clk_ATibuf_i101/A,in,1.277901,1.274812,1.277901,0.200000,1.077901
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_21/A,in,1.086862,1.091057,1.091057,0.200000,0.891057
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_391/A,in,1.042657,0.980401,1.042657,0.200000,0.842657
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445104/A,in,1.042652,0.980393,1.042652,0.200000,0.842652
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_385/A,in,1.003516,1.000774,1.003516,0.200000,0.8035160000000001
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445109/A,in,1.003518,1.000765,1.003518,0.200000,0.803518
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_17/A,in,0.855760,0.856819,0.856819,0.200000,0.656819
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_386/A,in,0.854943,0.794373,0.854943,0.200000,0.654943
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445103/A,in,0.854931,0.794350,0.854931,0.200000,0.6549309999999999
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode458722/A,in,0.697726,0.613841,0.697726,0.200000,0.49772599999999995
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_389/A,in,0.697727,0.613840,0.697727,0.200000,0.497727
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_392/A,in,0.683793,0.660334,0.683793,0.200000,0.483793
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445105/A,in,0.683784,0.660324,0.683784,0.200000,0.48378399999999994
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,esi_dft_occ_wrap_SERDES_scan_clk_ln2_rxdiv_i/pll_clk_ATibuf_i101/A,in,0.636275,0.636695,0.636695,0.200000,0.436695
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,esi_dft_occ_wrap_SERDES_scan_clk_ln2_rx_i/pll_clk_ATibuf_i101/A,in,0.631961,0.627460,0.631961,0.200000,0.431961
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_394/A,in,0.599304,0.519743,0.599304,0.200000,0.39930399999999994
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode443931/A,in,0.599279,0.519721,0.599279,0.200000,0.399279
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445108/A,in,0.591267,0.558803,0.591267,0.200000,0.391267
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_387/A,in,0.591269,0.558805,0.591269,0.200000,0.39126900000000003
data_trans2.lifcc.SC.SigCmaxDP_ErPlus_modRvia_m40c.setup.func.noxtalk.noocv.rpt,diode445110/A,in,0.527200,0.487863,0.5272,0.200000,0.3272
